name,volume,wall_thickness,manifold,positive_volume,no_intersections,thick_walls
/data/csc4801/KedzioraLab/ModelNet40/stairs/train/stl/stairs_0011.stl,,,False,True,False,True
/data/csc4801/KedzioraLab/ModelNet40/stairs/train/stl/stairs_0013.stl,,0.0050489750739283945,False,True,True,False
/data/csc4801/KedzioraLab/ModelNet40/stairs/train/stl/stairs_0090.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/ModelNet40/stairs/train/stl/stairs_0070.stl,,,False,True,False,True
/data/csc4801/KedzioraLab/ModelNet40/stairs/train/stl/stairs_0099.stl,,0.004706163191504345,False,True,True,False
/data/csc4801/KedzioraLab/ModelNet40/stairs/train/stl/stairs_0033.stl,-147423.87194625288,,False,False,False,True
/data/csc4801/KedzioraLab/ModelNet40/stairs/train/stl/stairs_0061.stl,,,False,True,False,True
/data/csc4801/KedzioraLab/ModelNet40/stairs/train/stl/stairs_0122.stl,-0.6275842092587942,0.14278846643141058,False,False,False,False
/data/csc4801/KedzioraLab/ModelNet40/stairs/train/stl/stairs_0097.stl,-3299416.0102293715,,False,False,True,True
/data/csc4801/KedzioraLab/ModelNet40/stairs/train/stl/stairs_0100.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/ModelNet40/stairs/train/stl/stairs_0020.stl,-6.6578122563660145,,False,False,True,True
/data/csc4801/KedzioraLab/ModelNet40/stairs/train/stl/stairs_0045.stl,-4423663.906507288,,False,False,True,True
/data/csc4801/KedzioraLab/ModelNet40/stairs/train/stl/stairs_0107.stl,-83634.87663070137,,False,False,False,True
/data/csc4801/KedzioraLab/ModelNet40/stairs/train/stl/stairs_0116.stl,,,False,True,False,True
/data/csc4801/KedzioraLab/ModelNet40/stairs/train/stl/stairs_0007.stl,,,False,True,False,True
/data/csc4801/KedzioraLab/ModelNet40/stairs/train/stl/stairs_0094.stl,-7.275957614183426e-12,,False,False,True,True
/data/csc4801/KedzioraLab/ModelNet40/stairs/train/stl/stairs_0077.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/ModelNet40/stairs/train/stl/stairs_0005.stl,,0.19275458974769555,False,True,False,False
/data/csc4801/KedzioraLab/ModelNet40/stairs/train/stl/stairs_0068.stl,,,False,True,False,True
/data/csc4801/KedzioraLab/ModelNet40/stairs/train/stl/stairs_0063.stl,,0.057773529492482635,False,True,False,False
/data/csc4801/KedzioraLab/ModelNet40/stairs/train/stl/stairs_0087.stl,,,False,True,False,True
/data/csc4801/KedzioraLab/ModelNet40/stairs/train/stl/stairs_0092.stl,2.607218145082394e-11,,False,False,True,True
/data/csc4801/KedzioraLab/ModelNet40/stairs/train/stl/stairs_0026.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/ModelNet40/stairs/train/stl/stairs_0027.stl,,,False,True,False,True
/data/csc4801/KedzioraLab/ModelNet40/stairs/train/stl/stairs_0049.stl,-1.1037661108037125,0.06626780843465796,False,False,False,False
